Provinsi;2016;2017
ACEH;13708;12246
SUMATERA UTARA;23770;24541
SUMATERA BARAT;35362;27902
RIAU;18917;23822
JAMBI;4069;6611
SUMATERA SELATAN;14084;16617
BENGKULU;7707;7284
LAMPUNG;19929;21284
KEP. BANGKA BELITUNG;7930;8786
KEP. RIAU;834;799
DKI JAKARTA;38227;32405
JAWA BARAT;185937;171586
JAWA TENGAH;131333;111737
DI YOGYAKARTA;12217;12962
JAWA TIMUR;240059;251177
BANTEN;104209;88723
BALI;33492;32102
NUSA TENGGARA BARAT;39587;40247
NUSA TENGGARA TIMUR;30499;28975
KALIMANTAN BARAT;14775;16593
KALIMANTAN TENGAH;10288;11704
KALIMANTAN SELATAN;15103;15116
KALIMANTAN TIMUR;34099;27687
KALIMANTAN UTARA;1739;1635
SULAWESI UTARA;15607;12923
SULAWESI TENGAH;15254;13312
SULAWESI SELATAN;50846;51335
SULAWESI TENGGARA;11799;13692
GORONTALO;5931;5521
SULAWESI BARAT;2593;2244
MALUKU;5566;5686
MALUKU UTARA;3372;4232
PAPUA BARAT;8468;7067
PAPUA;6149;6195
INDONESIA;1163459;1114748
