Provinsi;2014;2015
ACEH;10986;13231
SUMATERA UTARA;20797;26250
SUMATERA BARAT;30868;34005
RIAU;15777;15293
JAMBI;5254;6960
SUMATERA SELATAN;16070;19059
BENGKULU;7508;7075
LAMPUNG;13077;18537
KEP. BANGKA BELITUNG;8062;7789
KEP. RIAU;828;944
DKI JAKARTA;26502;39070
JAWA BARAT;160488;186405
JAWA TENGAH;157180;151350
DI YOGYAKARTA;12391;12146
JAWA TIMUR;237677;261999
BANTEN;84231;107376
BALI;40708;42921
NUSA TENGGARA BARAT;35005;37482
NUSA TENGGARA TIMUR;26012;31891
KALIMANTAN BARAT;10985;10831
KALIMANTAN TENGAH;13323;12193
KALIMANTAN SELATAN;19496;16016
KALIMANTAN TIMUR;38936;38181
KALIMANTAN UTARA;1655;1425
SULAWESI UTARA;4299;4174
SULAWESI TENGAH;11546;15805
SULAWESI SELATAN;49602;51869
SULAWESI TENGGARA;11218;11423
GORONTALO;3311;5285
SULAWESI BARAT;1381;1476
MALUKU;4010;5006
MALUKU UTARA;2295;2642
PAPUA BARAT;2868;5948
PAPUA;3794;5113
INDONESIA;1088140;1207170
