Provinsi;2010;2011
ACEH;36014;36287
SUMATERA UTARA;31926;32163
SUMATERA BARAT;37328;38056
RIAU;19645;21895
JAMBI;17101;17484
SUMATERA SELATAN;33985;34390
BENGKULU;6473;7213
LAMPUNG;9596;9775
KEP. BANGKA BELITUNG;7697;8577
KEP. RIAU;0;0
DKI JAKARTA;55565;56917
JAWA BARAT;165877;220150
JAWA TENGAH;176543;185371
DI YOGYAKARTA;19834;24941
JAWA TIMUR;340476;411249
BANTEN;90652;91578
BALI;38326;62763
NUSA TENGGARA BARAT;29059;31412
NUSA TENGGARA TIMUR;27710;30883
KALIMANTAN BARAT;14767;29501
KALIMANTAN TENGAH;10936;11209
KALIMANTAN SELATAN;16325;17277
KALIMANTAN TIMUR;45338;45666
KALIMANTAN UTARA;0;0
SULAWESI UTARA;3431;3437
SULAWESI TENGAH;13701;13942
SULAWESI SELATAN;42287;42344
SULAWESI TENGGARA;11736;11961
GORONTALO;4322;4413
SULAWESI BARAT;2614;2644
MALUKU;3711;4136
MALUKU UTARA;2081;2083
PAPUA BARAT;5351;5285
PAPUA;3747;4176
INDONESIA;1324154;1519178
