Provinsi;2008;2009
ACEH;26239;35601
SUMATERA UTARA;19676;28901
SUMATERA BARAT;31533;36512
RIAU;18089;19002
JAMBI;4625;13803
SUMATERA SELATAN;25738;32532
BENGKULU;4146;6327
LAMPUNG;6856;7644
KEP. BANGKA BELITUNG;4776;5590
KEP. RIAU;0;0
DKI JAKARTA;68906;54091
JAWA BARAT;133378;163851
JAWA TENGAH;173914;175552
DI YOGYAKARTA;21917;18368
JAWA TIMUR;316471;338091
BANTEN;55514;86913
BALI;36596;37535
NUSA TENGGARA BARAT;19468;25019
NUSA TENGGARA TIMUR;17971;26591
KALIMANTAN BARAT;15100;14597
KALIMANTAN TENGAH;12955;10901
KALIMANTAN SELATAN;16867;16085
KALIMANTAN TIMUR;40874;44713
KALIMANTAN UTARA;0;0
SULAWESI UTARA;1871;3271
SULAWESI TENGAH;11967;41947
SULAWESI SELATAN;37827;11638
SULAWESI TENGGARA;10917;2573
GORONTALO;4166;13625
SULAWESI BARAT;1046;1310
MALUKU;5809;3661
MALUKU UTARA;2233;2045
PAPUA BARAT;3252;3670
PAPUA;3470;4346
INDONESIA;1154167;1286305
